auto_id,identifier,batch_number,last_update,L,SIQ1,SIQ1a,SIQ2,SIQ3,SIQ4_cb_1,SIQ4_cb_2,SIQ4_cb_3,SIQ4_cb_4,SIQ4_cb_5,SIQ4_cb_6,SIQ4_cb_7,SIQ4_cb_8,SIQ4_cb_9_other,SIQ4_cb_9,SIQ4_cb_254,SIQ5_a,SIQ5_b,SIQ5_c,SIQ5_d,SIQ5_e,SIQ6,SIQ7,SIQ7a,SIQ7b,SIQ8_cb_1,SIQ8_cb_2,SIQ8_cb_3,SIQ8_cb_4,SIQ8_cb_5,SIQ8_cb_6,SIQ8_cb_7,SIQ8_cb_8_other,SIQ8_cb_8,SIQ8_cb_255,SIQ9_a,SIQ9_b,SIQ9_c,SIQ9_d,SIQ9_e,SIQ9_f,SIQ9_g,SIQ9_h,SIQ9_i,SIQ9_j_other,SIQ9_j,SIQ9_k,SIQ10_cb_1,SIQ10_cb_2,SIQ10_cb_3,SIQ10_cb_4,SIQ10_cb_5,SIQ10_cb_6,SIQ10_cb_7_other,SIQ10_cb_7,SIQ11,SIQ12a_cb_1,SIQ12a_cb_2,SIQ12a_cb_3,SIQ12a_cb_4,SIQ12a_cb_5,SIQ12a_cb_6_other,SIQ12a_cb_6,SIQ12b_cb_1,SIQ12b_cb_2,SIQ12b_cb_3,SIQ12b_cb_4,SIQ12b_cb_6_other,SIQ12b_cb_6,SIQ13a_a_1,SIQ13a_a_2,SIQ13a_a_3,SIQ13a_b_1,SIQ13a_b_2,SIQ13a_b_3,SIQ13a_c_1,SIQ13a_c_2,SIQ13a_c_3,SIQ13a_d_1,SIQ13a_d_2,SIQ13a_d_3,SIQ13a_e_1,SIQ13a_e_2,SIQ13a_e_3,SIQ13b_a_1,SIQ13b_a_2,SIQ13b_a_3,SIQ13b_b_1,SIQ13b_b_2,SIQ13b_b_3,SIQ13b_c_1,SIQ13b_c_2,SIQ13b_c_3,SIQ13b_d_1,SIQ13b_d_2,SIQ13b_d_3,SIQ13b_e_1,SIQ13b_e_2,SIQ13b_e_3,SIQ13c_a_1,SIQ13c_a_2,SIQ13c_a_3,SIQ13d_a_1,SIQ13d_a_2,SIQ13d_a_3,SIQ13d_b_1,SIQ13d_b_2,SIQ13d_b_3,SIQ13d_c_1,SIQ13d_c_2,SIQ13d_c_3,SIQ13e_a_1,SIQ13e_a_2,SIQ13e_a_3,SIQ13e_b_1,SIQ13e_b_2,SIQ13e_b_3,SIQ13e_c_1,SIQ13e_c_2,SIQ13e_c_3,SIQ13e_d_1,SIQ13e_d_2,SIQ13e_d_3,SIQ13e_e_1,SIQ13e_e_2,SIQ13e_e_3,SIQ14_a_1,SIQ14_a_2,SIQ14_a_3,SIQ14_a_4,SIQ14_a_5,SIQ14_b_1,SIQ14_b_2,SIQ14_b_3,SIQ14_b_4,SIQ14_b_5,SIQ14_c_1,SIQ14_c_2,SIQ14_c_3,SIQ14_c_4,SIQ14_c_5,SIQ14_d_1,SIQ14_d_2,SIQ14_d_3,SIQ14_d_4,SIQ14_d_5,SIQ14_e_1,SIQ14_e_2,SIQ14_e_3,SIQ14_e_4,SIQ14_e_5,SIQ15,SIQ16,SIQ17,SIQ17_6_other,SIQ17a,SIQ17b,SIQ17c,auto_id,identifier,selected,received,address1,address2,city,state,zip,pw_assigned,answers_added,saved,language,status,initial_login,last_update,IP_address,batch_number,
"245","test244","181109","2018-11-13 12:02:25","1","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","NULL","9999","9999","9999","9999","9999","9999","9999","9999","9999","NULL","NULL","9999","9999","9999","9999","9999","9999","9999","NULL","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","NULL","9999","9999","9999","9999","9999","9999","9999","9999","NULL","9999","9999","9999","9999","9999","9999","9999","NULL","9999","9999","9999","9999","9999","NULL","9999","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9999","NULL","9999","NULL","NULL","9999","NULL","9999","NULL","NULL","9999","NULL","9999","NULL","NULL","9999","NULL","9999","NULL","NULL","9999","NULL","9999","9999","9999","9999","NULL","2","5","9999","245","test244","0","0","1477 Main Street","Apt 244d","Columbus","OH","48354","1","1","40","1","finished","NULL","2018-11-13 12:02:25","NULL","181109",
"246","test245","181109","2018-11-13 12:02:34","1","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","NULL","9999","9999","9999","9999","9999","9999","9999","9999","9999","NULL","NULL","9999","9999","9999","9999","9999","9999","9999","NULL","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","NULL","9999","9999","9999","9999","9999","9999","9999","9999","NULL","9999","9999","9999","9999","9999","9999","9999","NULL","9999","9999","9999","9999","9999","NULL","9999","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9999","NULL","9999","NULL","NULL","9999","NULL","9999","NULL","NULL","9999","NULL","9999","NULL","NULL","9999","NULL","9999","NULL","NULL","9999","NULL","9999","9999","9999","9999","NULL","2","3","9999","246","test245","0","0","1478 Main Street","Apt 245","Columbus","OH","48355","1","1","40","1","finished","NULL","2018-11-13 12:02:34","NULL","181109",
"247","test246","181109","2018-11-13 12:02:43","1","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","NULL","9999","9999","9999","9999","9999","9999","9999","9999","9999","NULL","NULL","9999","9999","9999","9999","9999","9999","9999","NULL","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","NULL","9999","9999","9999","9999","9999","9999","9999","9999","NULL","9999","9999","9999","9999","9999","9999","9999","NULL","9999","9999","9999","9999","9999","NULL","9999","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9999","NULL","9999","NULL","NULL","9999","NULL","9999","NULL","NULL","9999","NULL","9999","NULL","NULL","9999","NULL","9999","NULL","NULL","9999","NULL","9999","9999","9999","9999","NULL","3","3","9999","247","test246","1","0","1479 Main Street","Apt 246e","Columbus","OH","48356","1","1","40","1","finished","NULL","2018-11-13 12:02:43","NULL","181109",
"39","test038","181109","2018-11-13 13:05:41","1","1","9999","2","1","0","0","0","0","0","0","0","0","","0","0","9999","9999","9999","9999","9999","9999","2","","5.00","0","0","0","0","0","0","0","","0","0","0","9999","9999","9999","9999","9999","9999","9999","9999","","9999","9999","1","2","3","4","5","6","","0","0","0","0","0","0","0","","0","1","2","3","4","","0","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","55","5","5","5","5","5","5","5","5","5","5","5","5","5","5","4","4","4","3","3","3","3","3","3","3","3","3","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","8","0","8","0","0","8","0","8","0","0","8","0","8","0","0","8","0","8","0","0","8","0","8","0","0","2","","9999","9999","9999","39","test038","0","0","1271 Main Street","Apt 38","Columbus","OH","48148","1","1","40","1","finished","NULL","2018-11-13 13:05:42","NULL","181109",
"40","test039","181109","2018-11-13 13:08:36","1","1","9999","9999","9999","0","0","0","0","0","0","0","0","","0","0","9999","9999","9999","9999","9999","9999","0","NULL","NULL","0","0","0","0","0","0","0","","0","0","1","9999","9999","9999","9999","9999","9999","9999","9999","","9999","9999","9999","9999","9999","9999","9999","9999","NULL","9999","0","9999","9999","9999","9999","9999","NULL","9999","9999","9999","9999","9999","NULL","9999","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","4","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","1","8","1","8","1","1","8","1","8","1","1","8","1","8","1","1","8","1","8","1","1","8","1","8","0","0","3","","9999","9999","5","40","test039","0","0","1272 Main Street","Apt 39d","Columbus","OH","48149","1","1","28","1","finished","NULL","2018-11-13 13:08:36","NULL","181109",
"219","test218","181109","2018-11-13 13:38:12","1","1","9999","2","2","0","0","0","0","0","6","0","0","","0","0","9999","9999","9999","9999","9999","9999","0","NULL","NULL","0","0","0","0","0","0","0","","0","0","1","9999","9999","9999","9999","9999","9999","9999","9999","","9999","9999","9999","9999","9999","9999","9999","9999","NULL","9999","4","9999","9999","9999","9999","9999","NULL","9999","9999","9999","9999","9999","NULL","9999","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","111","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","100","1","1","1","2","1","1","1","1","2","1","1","2","1","2","1","1","1","1","2","1","1","2","1","2","1","0","3","","9999","9999","4","219","test218","1","0","1451 Main Street","Apt 218a","Columbus","OH","48328","1","1","28","1","finished","NULL","2018-11-13 13:38:12","NULL","181109",
"248","test247","181109","2018-11-14 12:11:35","1","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","NULL","9999","9999","9999","9999","9999","9999","9999","9999","9999","NULL","NULL","9999","9999","9999","9999","9999","9999","9999","NULL","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","NULL","9999","9999","9999","9999","9999","9999","9999","9999","NULL","9999","9999","9999","9999","9999","9999","9999","NULL","9999","9999","9999","9999","9999","NULL","9999","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9999","NULL","9999","NULL","NULL","9999","NULL","9999","NULL","NULL","9999","NULL","9999","NULL","NULL","9999","NULL","9999","NULL","NULL","9999","NULL","9999","9999","9999","9999","NULL","1","4","9999","248","test247","1","0","1480 Main Street","Apt 247","Columbus","OH","48357","1","1","40","1","finished","NULL","2018-11-14 12:11:35","NULL","181109",
"249","test248","181109","2018-11-14 12:14:53","1","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","NULL","9999","9999","9999","9999","9999","9999","9999","9999","9999","NULL","NULL","9999","9999","9999","9999","9999","9999","9999","NULL","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","NULL","9999","9999","9999","9999","9999","9999","9999","9999","NULL","9999","9999","9999","9999","9999","9999","9999","NULL","9999","9999","9999","9999","9999","NULL","9999","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9999","NULL","9999","NULL","NULL","9999","NULL","9999","NULL","NULL","9999","NULL","9999","NULL","NULL","9999","NULL","9999","NULL","NULL","9999","NULL","9999","9999","9999","9999","NULL","1","3","9999","249","test248","1","0","1481 Main Street","Apt 248","Columbus","OH","48358","1","1","40","1","finished","NULL","2018-11-14 12:14:53","NULL","181109",
"151","test150","181109","2018-11-21 11:21:29","1","1","9999","1","2","0","2","0","4","0","6","0","0","","0","0","9999","9999","9999","9999","9999","1","1","1000","NULL","1","0","3","0","5","0","0","","0","0","1","0","1","0","1","0","1","0","1","","0","1","9999","9999","9999","9999","9999","9999","NULL","9999","2","9999","9999","9999","9999","9999","NULL","9999","0","2","0","0","","0","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","5","5","5","3","3","3","3","3","3","3","3","3","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","NA","NA","8","NA","8","NA","NA","8","NA","8","NA","NA","8","NA","8","NA","NA","8","NA","8","NA","NA","8","NA","8","0","0","2","","9999","9999","9999","151","test150","0","0","1383 Main Street","Apt 150","Columbus","OH","48260","1","1","40","1","finished","NULL","2018-11-21 11:21:29","NULL","181109",
"152","test151","181109","2018-11-21 11:25:45","1","3","1","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","NULL","9999","9999","9999","9999","9999","9999","9999","9999","9999","NULL","NULL","9999","9999","9999","9999","9999","9999","9999","NULL","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","NULL","9999","9999","9999","9999","9999","9999","9999","9999","NULL","9999","9999","9999","9999","9999","9999","9999","NULL","9999","9999","9999","9999","9999","NULL","9999","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9999","NULL","9999","NULL","NULL","9999","NULL","9999","NULL","NULL","9999","NULL","9999","NULL","NULL","9999","NULL","9999","NULL","NULL","9999","NULL","9999","9999","9999","9999","NULL","9999","9999","9999","152","test151","0","0","1384 Main Street","Apt 151","Columbus","OH","48261","1","1","50","1","finished","NULL","2018-11-21 11:25:45","NULL","181109",
"153","test152","181109","2018-11-21 11:33:49","1","1","9999","1","1","0","0","0","4","0","0","0","0","","0","0","1","1","1","1","1","1","2","NULL","2","0","0","3","0","0","0","0","","0","0","1","1","1","1","1","1","1","1","1","","1","1","9999","9999","9999","9999","9999","9999","NULL","9999","2","9999","9999","9999","9999","9999","NULL","9999","0","2","0","0","","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","3","","9999","9999","3","153","test152","0","0","1385 Main Street","Apt 152","Columbus","OH","48262","1","1","28","1","finished","NULL","2018-11-21 11:33:49","NULL","181109",
"156","test155","181109","2018-11-21 11:37:00","1","1","9999","2","2","0","0","0","4","0","0","0","0","","0","0","1","0","0","0","0","1","2","NULL","1","0","0","0","4","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","2","0","0","0","0","","0","3","9999","9999","9999","9999","9999","NULL","9999","9999","9999","9999","9999","NULL","9999","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","3","","9999","9999","5","156","test155","1","0","1388 Main Street","Apt 155","Columbus","OH","48265","1","1","28","1","finished","NULL","2018-11-21 11:37:00","NULL","181109",
"121","test120","181109","2018-11-26 12:09:05","1","1","9999","1","1","0","2","0","0","0","0","0","0","","0","0","0","0","0","0","0","1","1","0","NULL","0","2","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","","0","0","1","0","0","0","0","0","","0","1","0","2","0","0","0","","0","9999","9999","9999","9999","NULL","9999","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","0","1","0","0","1","0","1","0","0","1","0","1","0","0","1","0","1","1","1","1","","2","1","9999","121","test120","1","0","1353 Main Street","Apt 120","Columbus","OH","48230","1","1","40","1","finished","NULL","2018-11-26 12:09:05","NULL","181109",
"176","test175","181109","2018-11-26 12:22:15","1","1","9999","1","1","1","0","0","0","0","0","0","0","","0","0","1","9999","9999","9999","9999","1","1","1","NULL","1","0","0","0","0","0","0","","0","0","1","9999","9999","9999","9999","9999","9999","9999","9999","","9999","9999","9999","9999","9999","9999","9999","9999","NULL","9999","1","1","0","0","0","0","","0","9999","9999","9999","9999","NULL","9999","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","3","1","1","2","1","1","1","1","3","1","1","1","1","3","1","2","1","1","2","1","3","1","1","1","","1","3","9999","176","test175","0","0","1408 Main Street","Apt 175","Columbus","OH","48285","1","1","40","1","finished","NULL","2018-11-26 12:22:15","NULL","181109",
"202","test201","181109","2018-11-26 13:18:39","1","1","9999","1","1","1","0","0","0","0","0","0","0","","0","0","1","9999","9999","9999","9999","1","1","1","NULL","0","0","0","0","0","0","0","","0","0","1","9999","9999","9999","9999","9999","9999","9999","9999","","9999","9999","9999","9999","9999","9999","9999","9999","NULL","9999","1","1","0","0","0","0","","0","9999","9999","9999","9999","NULL","9999","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","1","1","9999","202","test201","1","0","1434 Main Street","Apt 201c","Columbus","OH","48311","1","1","40","1","finished","NULL","2018-11-26 13:18:39","NULL","181109",
"206","test205","181109","2018-11-28 12:13:44","1","3","1","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","NULL","9999","9999","9999","9999","9999","9999","9999","9999","9999","NULL","NULL","9999","9999","9999","9999","9999","9999","9999","NULL","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","NULL","9999","9999","9999","9999","9999","9999","9999","9999","NULL","9999","9999","9999","9999","9999","9999","9999","NULL","9999","9999","9999","9999","9999","NULL","9999","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9999","NULL","9999","NULL","NULL","9999","NULL","9999","NULL","NULL","9999","NULL","9999","NULL","NULL","9999","NULL","9999","NULL","NULL","9999","NULL","9999","9999","9999","9999","NULL","9999","9999","9999","206","test205","0","0","1438 Main Street","Apt 205e","Columbus","OH","48315","1","1","50","1","finished","NULL","2018-11-28 12:13:44","NULL","181109",
"179","test178","181109","2018-12-04 09:24:13","1","1","9999","1","2","0","0","3","0","0","0","0","0","","0","0","1","1","1","1","1","1","2","NULL","20","0","0","3","0","0","0","0","","0","0","1","1","1","1","1","1","1","1","1","","1","1","9999","9999","9999","9999","9999","9999","NULL","9999","2","9999","9999","9999","9999","9999","NULL","9999","0","2","0","0","","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","1","1","2","1","2","1","1","1","1","2","1","1","1","1","1","1","1","1","1","2","1","1","1","1","1","0","0","3","","9999","9999","4","179","test178","0","0","1411 Main Street","Apt 178","Columbus","OH","48288","1","1","28","1","finished","NULL","2018-12-04 09:24:13","NULL","181109",
"250","test249","181109","2018-12-12 09:28:48","1","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","NULL","9999","9999","9999","9999","9999","9999","9999","9999","9999","NULL","NULL","9999","9999","9999","9999","9999","9999","9999","NULL","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","NULL","9999","9999","9999","9999","9999","9999","9999","9999","NULL","9999","9999","9999","9999","9999","9999","9999","NULL","9999","9999","9999","9999","9999","NULL","9999","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9999","NULL","9999","NULL","NULL","9999","NULL","9999","NULL","NULL","9999","NULL","9999","NULL","NULL","9999","NULL","9999","NULL","NULL","9999","NULL","9999","9999","9999","9999","NULL","3","3","9999","250","test249","0","0","1482 Main Street","Apt 249","Columbus","OH","48359","1","1","40","1","finished","NULL","2018-12-12 09:28:48","NULL","181109",
